4M5DX,4m5dx.no-ip.org:7300
4N1EXY,147.91.21.15:8000
4N6DXS,195.66.179.242:8000
4Z5LZ-2,cqplanet.com:7300
6L0NJ,dxc.dx.or.kr
7N4TWL,7n4twl.homeip.net:8000
7N4TWL-7,7n4twl.homeip.net:8000
9A0CSI,dxc.ham.hr:7300
9A0CSI,ham.dyndns.org:7300
9A0DXC,9a0dxc.hamradio.hr:8000
9A0DXC,bbs.cc.fer.hr:8000
9A0DXV,9a0dxv.hamradio.hr:8000
9A1CIG-2,dxc9a1cig.no-ip.org
9A1CIG-2,DXC9A1CIG.NO-IP.ORG:7373
9H1LO-1,dx.9h1lo.net:7300
9K2HN,62.150.41.82:8000
AA2MF,dxc.aa2mf.net
AB5K,64.128.19.154
AB5K,dxc-us.ab5k.net
AB5K,dxc.ab5k.net
AB5K-4,dxc.ab5k.net:7373
AB7AA,66.1.40.120
AB7AA,AB7AA.no-ip.org
AC2FO,50.182.225.11
AD1C,dxc.ad1c.us
AE5E,dxspots.com:7300
AE5E-1,DXSPOTS.COM
AI9T,dxc.ai9t.com:7300
AI9T-2,dxc.ai9t.com:7373
BA2IA,58.244.248.177:7373
BA2IA-2,spot.ba2ia.com:7373
BD5RV,dxc.jsdxc.net:7300
BG2RVL-9,dx.5iyou.cn:7300
BG8FFE,bg8ffe.xicp.net:7373
BG8FT,bg8ffe.xicp.net:7373
BG8NUD,WWW.BG8NUD.COM:7373
BH1SCW-3,103.207.69.56:7300
BI4SCC,spots.bi4scc.net:7300
CE4UYP,146.83.196.31:9000
CE4UYP-5,146.83.196.31:9000
CS0RCL-7,cs0rcl.hopto.org:9000
CS1SEL,hamradio.isel.ipl.pt:41112
CS3MAD,cs3mad.dyndns.org:7300
CS5SEL-5,hamradio.isel.ipl.pt:41112
CS6ARC-10,cluster.no-ip.org:7300
CS7AFP-2,dxcluster.hamradio.pt:7300
CT1ENQ-5,ct1enq.myvnc.com:35000
CT2GWY,217.129.65.194:8181
CT7ANO-1,cluster.arlc.pt:7373
CX2SA,cx2sa.dyndns.org:9000
CX2SA-6,cx2sa.net:9000
DB0ERF,db0erf.de:41113
DB0ERF-5,www.db0erf.de:41113
DB0FHN,db0fhn.efi.fh-nuernberg.de:7300
DB0FHN-6,db0fhn.efi.fh-nuernberg.de:7300
DB0HGW,db0hgw.dyndns.org:4111
DB0HGW-6,db0hgw.dyndns.org:4111
DB0HST-6,dxc.db0hst.de:8005
DB0LJ,db0lj.dyndns.org:41112
DB0LJ-6,dx.prgm.org:41112
DB0SPC,db0spc.myvnc.com:8000
DB0SPC-7,db0spc.ath.cx:8000
DB0SUE,db0sue-7.ath.cx:8000
DB0SUE-7,db0sue.de:8000
DD5XX-10,dd5xx.incq.com:7000
DH8WR,dxc.dh8wr.com:7373
DH8WR-1,82.211.34.18:8000
DL0RTG-2,dl0rtg-2.spdns.eu:7300
DL4RCK,dl4rck.ham-radio-op.net:8000
DL8FCL-7,dl8fcl.dyndns.org:8001
DL8LAS,dl8las.dyndns.org:7301
DL9GTB-1,cluster.dl9gtb.de:8000
DL9GTB-2,cluster.dl9gtb.de:7373
DO5ALF-14,dx.funkerportal.de:8123
DQ8Z,dxcluster.dq8z.de
E73DU-6,e73du.no-ip.org:7300
E79ZTB,e79ztb.dyndns.org:7300
EA1CYZ,clx.inetd.nl:9000
EA1CYZ-5,clx.inetd.nl:9000
EA1DX,185.73.168.155
EA1DX,80.33.77.226:7000
EA1DX,84.236.130.5:9000
EA1URF,193.147.32.168:41112
EA1URF-5,campelo.cdf.udc.es:8000
EA1URP-5,ea1urp.sytes.net:9000
EA2AAA,ea2aaa.sytes.net:41112
EA2F,213.96.137.53:9001
EA2RCF-5,rcfcloud.dyndns.org:7300
EA2URV-5,dx.ea2urv.com:7300
EA3AKS,ea3aks.org:41112
EA3AKS-5,ea3aks.org:8000
EA3AKS-8,ea3aks.org:41112
EA3MM,80.32.111.228:9000
EA4FIT-2,ea4fit.ddns.org:8000
EA4FIT-5,ea4fit.no-ip.org:7373
EA4RCH-5,ea4rch.dxfun.com:8000
EA4RCU-5,ea4rcu.sytes.net:7300
EA4RH-5,dx.radiocq.com:8000
EA4URE,eadx.net
EA4URE-5,eadx.org:7300
EA5C,cluster.ea5rcg.org:8000
EA5CW-5,proystel.com:8000
EA5ELX,ea5elx.sytes.net:8000
EA5O,80.37.216.210:9000
EA5RCG,ea5afp.no-ip.org:8000
EA5RCG-5,cluster.ea5rcg.org:8000
EA5RCI-5,dx.ea5rci.com:8000
EA5RKV,ea5akc.myftp.org:24
EA5URA,ea5ura.sytes.net:9000
EA5URA-5,ea5ura.sytes.net:8000
EA5URF,campelo.cdf.udc.es:8000
EA5URM,ea5urm.dns2go.com
EA5URM,EA5URM.DNS2GO.COM:7000
EA5URM-5,ea5urm.dns2go.com:7000
EA5URV,clusea5.uv.es:41112
EA6VQ-1,dxmaps.com:7300
EA6VQ-1,VHFDX.INFO:7300
EA7URC,dx.ea7urc.org:41112
EA7URG,80.36.72.248:8001
EA7URG-5,ea7urg.es:8001
EA7URG-5,EA7URG.HOMELINUX.ORG:8001
EA7URM,ea7urm.org:8000
EA7URM-5,dx.ea7urm.org:8000
EA7URP,80.24.73.234:8000
EA7URP-5,ea7urp.org:8000
EA8URL,213.96.177.244:8000
EB4CTD,eb4ctd.myftp.org
EB4CTD,EB4CTD.MYFTP.ORG:9000
ED1ZAC,80.32.9.99:8000
ED1ZAC-5,dx.ed1zac.net:8000
ED3ZAG,147.83.156.33:8000
ED3ZAG-5,ed3zag.no-ip.com:8000
ED3ZAG-8,ed3zag.no-ip.com:41112
ED3ZAK-5,80.32.111.228:9000
ED7ZAB,dx.ea7urc.org:8000
EI7MRE,mayodx.ath.cx:7300
EI7SDX,shandx.ath.cx:5000
EI7WDX,dxc.ei7wdx.net:7300
EI7WDX,wdx.ath.cx:7300
EV1AR,193.232.250.249:41112
EW8AX-1,212.24.100.199:7300
F1MAC-3,fc1mac.dyndns.org:9000
F1MAC-6,F0MAC.DYNDNS.ORG:7373
F1MAC-6,f0mac.hopto.org:9000
F1MAC-7,ff0mac.dyndns.org
F1MAC-8,F1MAC.DYNDNS.ORG:9000
F1MAC-8,fc1mac.dyndns.org:7373
F1NNI,f6kbi.dyndns.org:9000
F1OYP-3,f1oyp.ampr.org:7000
F1OYP-6,f1oyp.no-ip.org:7400
F1OYP-7,f1oyp.no-ip.org:7300
F1OYP-8,f1oyp.no-ip.org:7373
F3KT,f3kt.dyndns.org
F3KT,F3KT.DYNDNS.ORG:9000
F3KT-3,f3kt.dyndns.org
F4ERG-3,f4erg.hd.free.fr:9000
F4GVE-2,dxcluster.f4gve.net:7300
F5LEN-7,lecluster.f5len.org:7373
F5MZN,213.41.172.193:9000
F5MZN-3,f5mzn.org:9000
F5NOD,f5nod.dyndns.org:7300
F6BHK-1,78.198.83.131:8000
F6BVP,82.66.61.83:9000
F6BVP-3,f6bvp.org:7300
F6CDD,82.236.244.181:9000
F6FGZ-3,clx.lunique.fr:9000
F6GGY,f6ggy.dyndns.org:9000
F6KBI,f6kbi.dyndns.org:9000
F6KBK,f6gcp-pat.dyndns.org:7300
F6KBK-3,f6gcp-pat.dyndns.org:7300
F6KDF,f6kdf.ath.cx:7300
F6KDF-3,dx.ldxg.fr:8000
F6KDF-8,f6kdf.ath.cx:7300
F6KMO,f6kmo.dyndns.org:9000
F6KVP-3,dxcluster.arp75.org:7373
F8CIY,f8ciy.servehttp.com:9000
F8COJ-3,f8coj.no-ip.org:7300
F8KGK,f8kgk.dyndns.org:9000
G3LRS-2,dxc.g3lrs.org.uk:7300
G6NHU,g6nhu.changeip.net:7373
G7RAU,g7rau.demon.co.uk:7374
G7VJR,g7vjr.org:7300
GB7BAA,gb7baa.com:7300
GB7BUX,dxc.gb7bux.co.uk:7300
GB7CGL,gb7cgl.ath.cx
GB7CGL,gb7cgl.ath.cx:6000
GB7CGL-1,gb7cgl.ath.cx
GB7CGL-1,gb7cgl.ath.cx:7300
GB7DJK,gb7djk.dxcluster.net:7300
GB7DXA,nt.amersham.net:7300
GB7DXC-5,80.176.87.211:7300
GB7DXE,gb7dxe.dyndns.org:7300
GB7DXG,GB7DXG.LEBS.ORG.UK:7300
GB7DXG,GB7DXG.lebs.org.uk:7373
GB7DXG,gb7dxg.shacknet.nu
GB7DXG-1,gb7dxg-1.lebs.org.uk:7300
GB7DXM,gb7dxm.shacknet.nu:7300
GB7DXS,81.149.0.149:7300
GB7EDX,gb7edx.com
GB7HTL,gb7cow.dyndns.org:9000
GB7IMK,taurus2.plus.com:7300
GB7IPT,gb7tf.org.uk:8000
GB7MBC,gb7mbc.spoo.org:8000
GB7MBC,www.gb7mbc.net:8000
GB7NHR,gb7nhr.dyndns.org:7300
GB7NHR,gb7nhr.shacknet.nu:7300
GB7RAU,G7RAU.DEMON.CO.UK:7374
GB7RAU,gb7rau.dxcluster.net:7374
GB7RDX,cluster.g3ldi.co.uk:7000
GB7SDX,gb7sdx.ath.cx:7300
GB7TDX,gb7tdx.ath.cx:7300
GB7UJS,gb7ujs.ham-radio-op.net:7373
GB7UJS,gb7ujs.shacknet.nu:7373
GB7WDX,gb7wdx.homelinux.net:8000
GB7XDX,gmdx.tzo.com
GB7YDX,gb7ydx.ath.cx:7300
GB7YFS,gb7yfs.org.uk:8001
HA5DI,ha5di.dyndns.org:8000
HA5DI-5,dxc.hasix.org:8000
HA5DXC,ha5dxc.homelinux.net:8000
HA5DXC,ha7cr.homelinux.net:8000
HA6DX,dx.hu:9000
HB9CA,dx-cluster.net
HB9DCO,kh6am.no-ip.org:7550
HB9DRV,www.ham-radio.ch:7300
HB9DRV-9,SPIDER.HAM-RADIO-DELUXE.COM:8000
HB9DRV-9,spider.ham-radio.ch:8000
HB9GL,dx.hb9gl.ch:7300
HB9GL-6,dx.hb9gl.ch:7300
HB9IAC,www.iapc.ch:8000
HB9IAC-8,dxc.iapc.ch:8000
HB9OK,www.hb9ok.org:4000
HB9ON-9,www.hb9on.org:8000
HB9TVW-9,hb9tvw.homeip.net:8000
HB9VID-2,78.47.138.186:7300
HG8PRC,hg8lxl.ham.hu:8000
HI5MLE-6,hi5mle.no-ip.org:9000
HP2AT,200.46.129.2:9000
HP2AT-4,hp2at.privatedns.org:9000
HP2NG-3,hp2ng.privatedns.org:7300
HP2STE-3,hp2at.privatedns.org:7300
HS0ZER,hs0zer.no-ip.com:9000
HS0ZER-15,hs0zer.no-ip.com:9000
I0INU,i0inu.dyndns.org
I0INU,I0INU.DYNDNS.ORG:7300
I0INU-6,i0inu.dyndns.org:7300
I0OJJ-6,i0ojj.mooo.com:8000
I2782VE-1,swlcluster.homepc.it:7300
I3ITX-6,cluster.futuristic.it:8000
I5UXJ,i5uxj-2.cln.it:8000
I5UXJ-2,i5uxj-2.cln.it:8000
I6FLD,151.8.162.130:40112
I8NHJ,193.207.106.230
I8ZSE-1,dxcluster.i8zse.eu:7300
IK0XWV,ik0xwv.dyndns.org:9000
IK0XWV-6,ik0xwv.dyndns.org:7300
IK1HJS,84.253.133.59:7300
IK1ZNW,213.254.10.100:8000
IK1ZNW,213.254.10.100:9000
IK1ZNW-6,dx.ik1znw.org:8000
IK2DUW-6,ik2duw.homepc.it:7300
IK2WAD-6,IK2WAD.SERVEHTTP.COM:7300
IK2XDE,80.67.113.160:8000
IK2XDE-6,80.67.113.160:8000
IK2XDE-6,ik2xde.ddns.net:8000
IK3EDJ,62.110.106.170:9000
IK3EDJ-6,ik3edj.dxgang.net:9000
IK4ICZ,ik4icz.dyndns.org:8000
IK4ICZ-5,ik4icz-5.dyndns.org:7300
IK4ICZ-6,ik4icz.dyndns.org:8000
IK5PWJ,146.48.126.28:8000
IK5PWJ,ik5pwj-6.dyndns.org:8000
IK5PWJ-6,ik5pwj-6.dyndns.org:8000
IK5YZW,ik5yzw.dyndns.org:8000
IK5YZW-6,ik5yzw.no-ip.org:8000
IK5ZUK,IK5ZUK.DYNDNS.ORG:8000
IK5ZUK,ik5zuk.dyndns.org:8000nn
IK5ZUK,ik5zuk.dyndns.org:9000
IK5ZUK-6,ik5zuk.dxcluster.net:8000
IK6GPZ,151.8.162.130:41112
IK6IHH,151.8.162.130:9000
IK6IHL,81.73.149.81:40112
IK6IHL-6,ik6ihl.dyndns.org:7300
IK6QOO-6,82.63.231.82:8000
IK6SNR,151.8.162.130:9000
IK6TJX,81.73.149.81:9000
IK6TJX-6,ham.ik6ihl.org:9000
IK6VXO,dx.ik6vxo.net
IK6XMI-6,ik6xmi.homepc.it:8000
IK6ZDE-6,ik6zde.hamradioonline.net:9000
IK7IMO,ik7imo.dyndns.org:7000
IK7IMO-6,ik7imo.ddns.net:7000
IK7MCJ,ik7mcj-6.dyndns.org:7000
IK7NXQ,ik7nxu.dyndns.org:9000
IK7NXQ-6,ik7nxu.dyndns.org:9000
IK7NXU,ik7nxu.dyndns.org:8000
IK7NXU-6,ik7nxu.dyndns.org:7300
IK7QLZ,ik7qlz.dyndns.org:7000
IK7QLZ-6,ik7qlz.dyndns.org:7000
IK7UXW-6,ik7uxw.dyndns.org:7300
IK7XLW-6,ik7xlw.dyndns.org:7300
IK8HJC,ik8hjc.dyndns.org:8000
IK8HJC-6,ik8hjc.dyndns.org:8000
IK8UHA,ik8uha.dyndns.org:9000
IK8VKW-6,ik8vkw.no-ip.biz:9001
IK8VRN,ik8vrn.dyndns.org:7000
IK8VRN-6,ik8vrn.dyndns.org:7000
IQ0LT-6,cluster.iq0lt.net:7300
IQ0LT-6,IQ0LT.NET:7300
IQ0SS,iq0ss.mine.nu
IQ1GP-6,cluster.ari-rivarolo.org:7000
IQ1IM-6,iq1im.ddns.net:7300
IQ1LA-6,iq1la-6.dyndns-ip.com
IQ1RY-6,aribra.it:7000
IQ2ER-2,iq2er.ddns.net:7300
IQ2GM-6,88.62.17.250:64300
IQ2HQ,77.43.115.57:7373
IQ2LB-6,dx.arilimbiate.it:7300
IQ4AX,195.43.189.178:8000
IQ4AX-6,dxcluster.arimodena.it:8000
IQ4RN,195.223.80.85:8000
IQ4RN-6,iq4rn.aririmini.it:8000
IQ8BB,80.205.215.149:8000
IQ8BB-6,80.205.215.149:8000
IQ8CS-6,160.97.55.211:80
IQ8DA,iq8da.dyndns.org:9000
IQ8PC-6,83.211.6.124:7300
IQ8PQ-6,iq8pq.aripozzuoli.com:9000
IQ8RB-6,iq8rb.rblob.com:8000
IQ9GF-6,79.9.210.9:7300
IQ9MY-6,iq9my.homepc.it:8000
IR0UGN-6,kwos.dyndns.org:7373
IR2UGI-6,ir2ugi.dyndns.org:9500
IR3DXC,gw.ir3ip.ampr.org:41112
IR3DXC,ir3dxc.net:41112
IR4AD,ir4ad.tzo.com
IR4U,ir4u.dyndns.org:8000
IR4U-6,dxc.aricesena.it:8000
IR4U-6,IR4U.ARICESENA.IT:8000
IR4X,80.183.201.33:8000
IR4X-6,iq4bq.dyndns.org:8000
IR5AG-6,ir5ag.ham.cx:8000
IR5PWJ,146.48.126.27:8000
IR5PWJ-6,radio-linux.isti.cnr.it:8000
IR6IHL,81.73.149.81:41112
IR8AW,ir8aw.dyndns.org:9000
IR8AW-2,ir8aw.dyndns.org:7373
IR8AW-6,ir8aw.dyndns.org:9000
IR8AW-8,ir8aw.dyndns.org:7300
IR9ESI,ir9esi.dyndns.org:7373
IS0GRB,is0grb.ods.org:41112
IS0GRB-6,is0grb.it:41112
IT9DLN,it9dln.homeip.net:41112
IT9FTP-6,82.51.241.1:8000
IT9HZC,62.94.37.234:8000
IT9LCP,151.38.27.197:41112
IT9OBK,it9obk.org:41112
IT9OBK-6,it9obk.org:41112
IT9WDY-6,it9wdy-6.dyndns.org:41112
IV3SCP-6,iv3scp.dyndns.org:7300
IV3YXW-6,iv3yxw.dyndns.org:8000
IW0QMN-6,82.91.115.48:8000
IW0QNL-6,iw0qnlserver.ns0.it:9002
IW1QLH-6,cluster.hrdlog.net:7300
IW1QLH-7,cluster.hrdlog.net:7373
